"bea_code","bea_title","ast_flag","matched_naics","match_digits","ppi_series","begin_year","status","n_ppi","naics_all"
"334514","Totalizing fluid meter and counting device manufacturing",FALSE,"334514",6,"PCU334514334514",1985,"matched",1,"334514"
"334515","Electricity and signal testing instruments manufacturing",FALSE,"334515",6,"PCU334515334515",1983,"matched",1,"334515"
"334516","Analytical laboratory instrument manufacturing",FALSE,"334516",6,"PCU334516334516",1985,"matched",1,"334516"
"334517","Irradiation apparatus manufacturing",FALSE,"334517",6,"PCU334517334517",1990,"matched",1,"334517"
"33451A","Watch, clock, and other measuring and controlling device manufacturing",FALSE,"334519",6,"PCU334519334519",1985,"matched",1,"334519"
"334610","Manufacturing and reproducing magnetic and optical media",FALSE,"334",3,"PCU334---334---",2003,"matched",1,"334"
"335110","Electric lamp bulb and part manufacturing",FALSE,"3351",4,"PCU3351--3351--",2003,"matched",1,"3351"
"335120","Lighting fixture manufacturing",FALSE,"3351",4,"PCU3351--3351--",2003,"matched",1,"3351"
"335210","Small electrical appliance manufacturing",FALSE,"33521",5,"PCU33521-33521-",2003,"matched",1,"33521"
"335220","Major household appliance manufacturing",FALSE,"335220",6,"PCU335220335220",2016,"matched",1,"335220"
"335311","Power, distribution, and specialty transformer manufacturing",FALSE,"335311",6,"PCU335311335311",1967,"matched",1,"335311"
"335312","Motor and generator manufacturing",FALSE,"335312",6,"PCU335312335312",1947,"matched",1,"335312"
"335313","Switchgear and switchboard apparatus manufacturing",FALSE,"335313",6,"PCU335313335313",1985,"matched",1,"335313"
"335314","Relay and industrial control manufacturing",FALSE,"335314",6,"PCU335314335314",1985,"matched",1,"335314"
"335911","Storage battery manufacturing",FALSE,"33591",5,"PCU33591-33591-",2003,"matched",1,"33591"
"335912","Primary battery manufacturing",FALSE,"33591",5,"PCU33591-33591-",2003,"matched",1,"33591"
"335920","Communication and energy wire and cable manufacturing",FALSE,"33592",5,"PCU33592-33592-",2003,"matched",1,"33592"
"335930","Wiring device manufacturing",FALSE,"33593",5,"PCU33593-33593-",2003,"matched",1,"33593"
"335991","Carbon and graphite product manufacturing",FALSE,"335991",6,"PCU335991335991",1985,"matched",1,"335991"
"335999","All other miscellaneous electrical equipment and component manufacturing",FALSE,"335999",6,"PCU335999335999",2003,"matched",1,"335999"
"336111","Automobile manufacturing",FALSE,"33611",5,"PCU33611-33611-",2003,"matched",1,"33611"
"336112","Light truck and utility vehicle manufacturing",FALSE,"33611",5,"PCU33611-33611-",2003,"matched",1,"33611"
"336120","Heavy duty truck manufacturing",FALSE,"33612",5,"PCU33612-33612-",2003,"matched",1,"33612"
"336211","Motor vehicle body manufacturing",FALSE,"336211",6,"PCU336211336211",1982,"matched",1,"336211"
"336212","Truck trailer manufacturing",FALSE,"336212",6,"PCU336212336212",1979,"matched",1,"336212"
"336213","Motor home manufacturing",FALSE,"336213",6,"PCU336213336213",1984,"matched",1,"336213"
"336214","Travel trailer and camper manufacturing",FALSE,"336214",6,"PCU336214336214",2003,"matched",1,"336214"
"336310","Motor vehicle gasoline engine and engine parts manufacturing",FALSE,"33631",5,"PCU33631-33631-",2003,"matched",1,"33631"
"336320","Motor vehicle electrical and electronic equipment manufacturing",FALSE,"33632",5,"PCU33632-33632-",2003,"matched",1,"33632"
"336350","Motor vehicle transmission and power train parts manufacturing",FALSE,"33635",5,"PCU33635-33635-",2003,"matched",1,"33635"
"336360","Motor vehicle seating and interior trim manufacturing",FALSE,"33636",5,"PCU33636-33636-",2003,"matched",1,"33636"
"336370","Motor vehicle metal stamping",FALSE,"33637",5,"PCU33637-33637-",2003,"matched",1,"33637"
"336390","Other motor vehicle parts manufacturing",FALSE,"33639",5,"PCU33639-33639-",2003,"matched",1,"33639"
"3363A0","Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",FALSE,"33633",5,"PCU33633-33633-",2003,"matched",2,"33633, 33634"
"336411","Aircraft manufacturing",FALSE,"336411",6,"PCU336411336411",1985,"matched",1,"336411"
"336412","Aircraft engine and engine parts manufacturing",FALSE,"336412",6,"PCU336412336412",1985,"matched",1,"336412"
"336413","Other aircraft parts and auxiliary equipment manufacturing",FALSE,"336413",6,"PCU336413336413",1985,"matched",1,"336413"
"336414","Guided missile and space vehicle manufacturing",FALSE,"33641",5,"PCU33641-33641-",1985,"matched",1,"33641"
"33641A","Propulsion units and parts for space vehicles and guided missiles",FALSE,"33641",5,"PCU33641-33641-",1985,"matched",1,"33641"
"336500","Railroad rolling stock manufacturing",FALSE,"3365",4,"PCU3365--3365--",1984,"matched",1,"3365"
"336611","Ship building and repairing",FALSE,"336611",6,"PCU336611336611",1985,"matched",1,"336611"
"336612","Boat building",FALSE,"336612",6,"PCU336612336612",1981,"matched",1,"336612"
"336991","Motorcycle, bicycle, and parts manufacturing",FALSE,"336991",6,"PCU336991336991",1984,"matched",1,"336991"
"336992","Military armored vehicle, tank, and tank component manufacturing",FALSE,"33699",5,"PCU33699-33699-",2003,"matched",1,"33699"
"336999","All other transportation equipment manufacturing",FALSE,"336999",6,"PCU336999336999",2003,"matched",1,"336999"
